Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Rohullah NIKPAI,2008 Beijing,Taekwondo,Men's,- 58 kg,Images/Medal_Bronze.png,AFG,Bronze
NaN,Rohullah NIKPAI,2012 London,Taekwondo,Men's,58 - 68 kg,Images/Medal_Bronze.png,AFG,Bronze
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ALB,NaN
NaN,Mohamed ZAOUI,1984 Los Angeles,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Mustapha MOUSSA,1984 Los Angeles,Boxing,Men's,75 - 81kg (light-heavyweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Hassiba BOULMERKA,1992 Barcelona,Athletics,Women's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,Hocine SOLTANI,1992 Barcelona,Boxing,Men's,54 - 57kg (featherweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Морсели,1996 Atlanta,Athletics,Men's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,Солтани,1996 Atlanta,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Gold.png,ALG,Gold
NaN,Бахари,1996 Atlanta,Boxing,Men's,71 - 75kg (middleweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Нурия Мерах-Бенида,2000 Sydney,Athletics,Women's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,Али Саид-Сиф,2000 Sydney,Athletics,Men's,5000m,Images/Medal_Silver.png,ALG,Silver
NaN,Джабир Саид-Герни,2000 Sydney,Athletics,Men's,800m,Images/Medal_Bronze.png,ALG,Bronze
NaN,Абдерахман Хаммад,2000 Sydney,Athletics,Men's,high jump,Images/Medal_Bronze.png,ALG,Bronze
NaN,Мохамед Аллалу,2000 Sydney,Boxing,Men's,60 - 63.5kg (light-welterweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Amar BENIKHLEF,2008 Beijing,Judo,Men's,81 - 90kg (middleweight),Images/Medal_Silver.png,ALG,Silver
NaN,Soraya HADDAD,2008 Beijing,Judo,Women's,48 - 52kg (half-lightweight),Images/Medal_Bronze.png,ALG,Bronze
NaN,Taoufik MAKHLOUFI,2012 London,Athletics,Men's,1500m,Images/Medal_Gold.png,ALG,Gold
NaN,MAKHLOUFI Taoufik,2016 Rio de Janeiro,Athletics,Men's,800m,Images/Medal_Silver.png,ALG,Silver
NaN,MAKHLOUFI Taoufik,2016 Rio de Janeiro,Athletics,Men's,1500m,Images/Medal_Silver.png,ALG,Silver
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ASA,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,AND,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ANG,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,ANT,NaN
NaN,Arturo KENNYJuan NELSONGuillermo NAYLORA. PENAEnrique PADILLAJuan MILES,1924 Paris,Polo,Men's,polo,Images/Medal_Gold.png,ARG,Gold
NaN,Luis BRUNETTO,1924 Paris,Athletics,Men's,triple jump,Images/Medal_Silver.png,ARG,Silver
NaN,Alfredo COPELLO,1924 Paris,Boxing,Men's,57.15 - 61.24kg (lightweight),Images/Medal_Silver.png,ARG,Silver
NaN,Héctor MÉNDEZ,1924 Paris,Boxing,Men's,61.24 - 66.68kg (welterweight),Images/Medal_Silver.png,ARG,Silver
NaN,Pedro QUARTUCCI,1924 Paris,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Alfredo PORZIO,1924 Paris,Boxing,Men's,66.68 - 72.57kg (middleweight),Images/Medal_Bronze.png,ARG,Bronze
NaN,Victor AVENDANO,1928 Amsterdam,Boxing,Men's,72.57 - 79.38kg (light-heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Arturo RODRIGUEZ JURADO,1928 Amsterdam,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Alberto ZORRILLA,1928 Amsterdam,Swimming,Men's,400m freestyle,Images/Medal_Gold.png,ARG,Gold
NaN,Victor PERALTA,1928 Amsterdam,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Silver.png,ARG,Silver
NaN,Raúl LANDINI,1928 Amsterdam,Boxing,Men's,61.24 - 66.68kg (welterweight),Images/Medal_Silver.png,ARG,Silver
NaN,Manuel FERREIRAAngel BOSION. PERINETTIAngel Segundo MÉDICIS. N. GOMEZFernando PATERNOSTERP. OCHOALudovico BIDOGLIOA. HELMANL. F. WEIHMULLERRoberto CHERROSaúl CALANDRARodolfo ORLANDINIOctavio DIAZEnrique GAINZARAINDomingo TARASCONIAlfredo CARRICABERRYRaimondo ORSILuis Felipe MONTIJuan EVARISTOA. B. ZUMELZUFeliciano Angel PERDUCCA,1928 Amsterdam,Football,Men's,football,Images/Medal_Silver.png,ARG,Silver
NaN,Roberto LARRAZLuis LUCCHETTICarmelo CAMETRaúl ANGANUZZIHéctor LUCCHETTI,1928 Amsterdam,Fencing,Men's,foil team,Images/Medal_Bronze.png,ARG,Bronze
NaN,Juan Carlos ZABALA,1932 Los Angeles,Athletics,Men's,marathon,Images/Medal_Gold.png,ARG,Gold
NaN,Carmelo ROBLEDO,1932 Los Angeles,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Gold.png,ARG,Gold
NaN,Santiago LOVELL,1932 Los Angeles,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Gold.png,ARG,Gold
NaN,Amado AZAR,1932 Los Angeles,Boxing,Men's,66.68 - 72.57kg (middleweight),Images/Medal_Silver.png,ARG,Silver
NaN,Oscar CASANOVAS,1936 Berlin,Boxing,Men's,53.52 - 57.15kg (featherweight),Images/Medal_Gold.png,ARG,Gold
NaN,Manuel ANDRADALuis DUGGANAndrès GAZZOTTIRoberto CAVANAGH,1936 Berlin,Polo,Men's,polo,Images/Medal_Gold.png,ARG,Gold
NaN,Guillermo LOVELL,1936 Berlin,Boxing,Men's,+ 79.38kg (heavyweight),Images/Medal_Silver.png,ARG,Silver
NaN,Jeanette CAMPBELL,1936 Berlin,Swimming,Women's,100m freestyle,Images/Medal_Silver.png,ARG,Silver
NaN,Raul Vicente VILLAREAL,1936 Berlin,Boxing,Men's,66.68 - 72.57kg (middleweight),Images/Medal_Bronze.png,ARG,Bronze
